iter	Passed	Remaining
1545	11584	3402
1546	11591	3394
1547	11598	3386
1548	11605	3378
1549	11612	3371
1550	11619	3363
1551	11627	3356
1552	11635	3349
1553	11642	3341
1554	11650	3333
1555	11657	3326
1556	11665	3319
1557	11672	3311
1558	11679	3303
1559	11687	3296
1560	11693	3288
1561	11701	3281
1562	11708	3273
1563	11715	3266
1564	11722	3258
1565	11730	3251
1566	11738	3243
1567	11745	3236
1568	11753	3228
1569	11759	3220
1570	11766	3213
1571	11773	3205
1572	11780	3197
1573	11787	3190
1574	11794	3182
1575	11801	3175
1576	11808	3167
1577	11815	3159
1578	11822	3152
1579	11828	3144
1580	11836	3136
1581	11843	3129
1582	11850	3121
1583	11857	3114
1584	11864	3106
1585	11871	3098
1586	11878	3091
1587	11885	3083
1588	11891	3075
1589	11897	3067
1590	11904	3060
1591	11912	3052
1592	11920	3045
1593	11927	3038
1594	11934	3030
1595	11940	3022
1596	11948	3015
1597	11955	3007
1598	11963	3000
1599	11970	2992
1600	11976	2984
1601	11983	2977
1602	11990	2969
1603	11997	2961
1604	12004	2954
1605	12012	2946
1606	12018	2939
1607	12025	2931
1608	12032	2924
1609	12040	2916
1610	12047	2908
1611	12053	2901
1612	12060	2893
1613	12067	2885
1614	12074	2878
1615	12081	2870
1616	12088	2863
1617	12094	2855
1618	12102	2848
1619	12109	2840
1620	12116	2832
1621	12124	2825
1622	12132	2818
1623	12140	2810
1624	12146	2803
1625	12153	2795
1626	12160	2787
1627	12169	2780
1628	12175	2773
1629	12182	2765
1630	12190	2757
1631	12197	2750
1632	12204	2742
1633	12210	2735
1634	12218	2727
1635	12226	2720
1636	12233	2712
1637	12241	2705
1638	12248	2697
1639	12255	2690
1640	12263	2682
1641	12271	2675
1642	12278	2667
1643	12284	2660
1644	12291	2652
1645	12299	2645
1646	12305	2637
1647	12312	2629
1648	12319	2622
1649	12328	2615
1650	12335	2607
1651	12342	2600
1652	12349	2592
1653	12356	2584
1654	12365	2577
1655	12371	2570
1656	12378	2562
1657	12385	2554
1658	12391	2547
1659	12398	2539
1660	12405	2531
1661	12412	2524
1662	12419	2516
1663	12427	2509
1664	12433	2501
1665	12441	2494
1666	12447	2486
1667	12455	2479
1668	12462	2471
1669	12468	2463
1670	12475	2456
